Frame,Pixel Count
MOG,0
MOG2,82944
GMG,0
KNN,82944
CNT,82944
MOG,1105
MOG2,5403
GMG,0
KNN,82944
CNT,82944
MOG,1493
MOG2,2963
GMG,0
KNN,82923
CNT,82944
MOG,1024
MOG2,2838
GMG,0
KNN,82897
CNT,82944
MOG,1140
MOG2,2626
GMG,0
KNN,7439
CNT,82944
MOG,1532
MOG2,2806
GMG,0
KNN,6036
CNT,82944
MOG,1613
MOG2,2544
GMG,0
KNN,5713
CNT,82944
MOG,2066
MOG2,4740
GMG,0
KNN,6701
CNT,82944
MOG,2029
MOG2,2656
GMG,0
KNN,6545
CNT,82944
MOG,2268
MOG2,2596
GMG,0
KNN,6241
CNT,82944
MOG,2260
MOG2,3550
GMG,0
KNN,7153
CNT,82944
MOG,1811
MOG2,3672
GMG,0
KNN,7498
CNT,82944
MOG,2573
MOG2,5786
GMG,0
KNN,9054
CNT,82944
MOG,2502
MOG2,4627
GMG,0
KNN,8902
CNT,82944
MOG,2544
MOG2,3490
GMG,0
KNN,9157
CNT,82944
MOG,2822
MOG2,4350
GMG,0
KNN,9112
CNT,11428
MOG,2780
MOG2,4920
GMG,0
KNN,9134
CNT,11786
MOG,3178
MOG2,6371
GMG,0
KNN,9350
CNT,12112
MOG,3342
MOG2,6057
GMG,0
KNN,9232
CNT,12131
MOG,3031
MOG2,5850
GMG,0
KNN,8766
CNT,12080
MOG,2968
MOG2,6351
GMG,0
KNN,8470
CNT,12148
MOG,3149
MOG2,5661
GMG,0
KNN,8963
CNT,12143
MOG,3411
MOG2,6716
GMG,0
KNN,9486
CNT,12422
MOG,3394
MOG2,6416
GMG,0
KNN,9453
CNT,12307
MOG,3511
MOG2,6386
GMG,0
KNN,9543
CNT,12276
MOG,3468
MOG2,7115
GMG,0
KNN,9461
CNT,12243
MOG,3171
MOG2,6632
GMG,0
KNN,9404
CNT,12212
MOG,3427
MOG2,6973
GMG,0
KNN,9714
CNT,12420
MOG,3495
MOG2,6680
GMG,0
KNN,9525
CNT,12050
MOG,3441
MOG2,6440
GMG,0
KNN,9281
CNT,11892
MOG,3419
MOG2,6409
GMG,0
KNN,9103
CNT,11767
MOG,3510
MOG2,5563
GMG,0
KNN,9333
CNT,11554
MOG,3673
MOG2,6312
GMG,0
KNN,9558
CNT,11639
MOG,3499
MOG2,5841
GMG,0
KNN,9310
CNT,11263
MOG,3626
MOG2,6039
GMG,0
KNN,9187
CNT,11207
MOG,3661
MOG2,6235
GMG,0
KNN,9065
CNT,11152
MOG,3638
MOG2,6103
GMG,0
KNN,8903
CNT,11041
MOG,3894
MOG2,6691
GMG,0
KNN,9072
CNT,11079
MOG,3839
MOG2,6678
GMG,0
KNN,8964
CNT,10799
MOG,3800
MOG2,6466
GMG,0
KNN,8814
CNT,10730
MOG,3900
MOG2,6612
GMG,0
KNN,9153
CNT,10747
MOG,3781
MOG2,6494
GMG,0
KNN,9050
CNT,10540
MOG,3940
MOG2,6953
GMG,0
KNN,9197
CNT,10549
MOG,3977
MOG2,6996
GMG,0
KNN,9140
CNT,10314
MOG,3991
MOG2,7168
GMG,0
KNN,9200
CNT,10273
MOG,4010
MOG2,7217
GMG,0
KNN,9199
CNT,10249
MOG,4061
MOG2,7268
GMG,0
KNN,9160
CNT,10188
MOG,4226
MOG2,7883
GMG,0
KNN,9308
CNT,10229
MOG,4215
MOG2,7896
GMG,0
KNN,9285
CNT,10085
MOG,4204
MOG2,7892
GMG,0
KNN,9238
CNT,10016
MOG,4278
MOG2,8543
GMG,0
KNN,9380
CNT,10031
MOG,4222
MOG2,8538
GMG,0
KNN,9673
CNT,10014
MOG,4411
MOG2,9036
GMG,0
KNN,9937
CNT,10109
MOG,4439
MOG2,9133
GMG,0
KNN,10004
CNT,9938
MOG,4452
MOG2,9203
GMG,0
KNN,10067
CNT,9915
MOG,4427
MOG2,9374
GMG,0
KNN,10162
CNT,9885
MOG,4505
MOG2,9428
GMG,0
KNN,10206
CNT,9839
MOG,4714
MOG2,10066
GMG,0
KNN,10496
CNT,9945
MOG,4715
MOG2,9935
GMG,0
KNN,10435
CNT,9912
MOG,4791
MOG2,10035
GMG,0
KNN,10473
CNT,9943
MOG,4780
MOG2,10048
GMG,0
KNN,10335
CNT,9931
MOG,4774
MOG2,9997
GMG,0
KNN,10339
CNT,9854
MOG,4900
MOG2,10267
GMG,0
KNN,10486
CNT,9956
MOG,4823
MOG2,10310
GMG,0
KNN,10470
CNT,9883
MOG,4815
MOG2,10117
GMG,0
KNN,10563
CNT,9845
MOG,4831
MOG2,10293
GMG,0
KNN,10571
CNT,9853
MOG,4791
MOG2,10168
GMG,0
KNN,10421
CNT,9756
MOG,4857
MOG2,10806
GMG,0
KNN,10520
CNT,9815
MOG,4844
MOG2,10767
GMG,0
KNN,10450
CNT,9750
MOG,4881
MOG2,10710
GMG,0
KNN,10546
CNT,9762
MOG,4863
MOG2,10657
GMG,0
KNN,10553
CNT,9788
MOG,4854
MOG2,10826
GMG,0
KNN,10655
CNT,9846
MOG,5070
MOG2,11287
GMG,0
KNN,11125
CNT,10111
MOG,5061
MOG2,11204
GMG,0
KNN,11092
CNT,10125
MOG,5099
MOG2,11244
GMG,0
KNN,11158
CNT,10186
MOG,5131
MOG2,11779
GMG,0
KNN,11306
CNT,10227
MOG,5155
MOG2,11671
GMG,0
KNN,11279
CNT,10174
MOG,5289
MOG2,11837
GMG,0
KNN,11419
CNT,10168
MOG,5263
MOG2,11799
GMG,0
KNN,11355
CNT,10066
MOG,5278
MOG2,11803
GMG,0
KNN,11422
CNT,10146
MOG,5350
MOG2,11605
GMG,0
KNN,11319
CNT,10126
MOG,5406
MOG2,11608
GMG,0
KNN,11430
CNT,10146
MOG,5602
MOG2,11818
GMG,0
KNN,11536
CNT,10254
MOG,5642
MOG2,11793
GMG,0
KNN,11617
CNT,10216
MOG,5594
MOG2,11641
GMG,0
KNN,11539
CNT,10211
MOG,5580
MOG2,11725
GMG,0
KNN,11660
CNT,10240
MOG,5573
MOG2,11631
GMG,0
KNN,11621
CNT,10183
MOG,5677
MOG2,12011
GMG,0
KNN,11820
CNT,10310
MOG,5622
MOG2,11833
GMG,0
KNN,11737
CNT,10223
MOG,5591
MOG2,11701
GMG,0
KNN,11709
CNT,10143
MOG,5598
MOG2,11535
GMG,0
KNN,11666
CNT,10068
MOG,5569
MOG2,11483
GMG,0
KNN,11747
CNT,10037
MOG,5550
MOG2,11565
GMG,0
KNN,11742
CNT,9952
MOG,5496
MOG2,11385
GMG,0
KNN,11701
CNT,9924
MOG,5508
MOG2,11229
GMG,0
KNN,11517
CNT,9927
MOG,5474
MOG2,11216
GMG,0
KNN,11467
CNT,9909
MOG,5455
MOG2,11149
GMG,0
KNN,11441
CNT,9924
MOG,5618
MOG2,11254
GMG,0
KNN,11323
CNT,10003
MOG,5594
MOG2,11196
GMG,0
KNN,11257
CNT,9953
MOG,5615
MOG2,11120
GMG,0
KNN,11259
CNT,9988
MOG,5611
MOG2,11270
GMG,0
KNN,11238
CNT,9956
MOG,5567
MOG2,11201
GMG,0
KNN,11259
CNT,9932
MOG,5586
MOG2,11766
GMG,0
KNN,11476
CNT,9877
MOG,5643
MOG2,11677
GMG,0
KNN,11417
CNT,9826
MOG,5632
MOG2,11539
GMG,0
KNN,11296
CNT,9737
MOG,5609
MOG2,11439
GMG,0
KNN,11121
CNT,9716
MOG,5604
MOG2,11392
GMG,0
KNN,10966
CNT,9631
MOG,5657
MOG2,11322
GMG,0
KNN,10817
CNT,9480
MOG,5705
MOG2,11303
GMG,0
KNN,10742
CNT,9548
MOG,5738
MOG2,11431
GMG,0
KNN,10744
CNT,9570
MOG,5750
MOG2,11386
GMG,0
KNN,10716
CNT,9539
MOG,5738
MOG2,11480
GMG,0
KNN,10703
CNT,9541
MOG,5797
MOG2,11512
GMG,0
KNN,10611
CNT,9434
MOG,5783
MOG2,11600
GMG,0
KNN,10624
CNT,9353
MOG,5770
MOG2,11614
GMG,0
KNN,10672
CNT,9326
MOG,5647
MOG2,11539
GMG,0
KNN,10597
CNT,9177
MOG,5561
MOG2,11397
GMG,0
KNN,10488
CNT,8987
MOG,5496
MOG2,11575
GMG,0
KNN,10497
CNT,8892
MOG,5413
MOG2,11394
GMG,0
KNN,10357
CNT,8792
MOG,5308
MOG2,11251
GMG,0
KNN,10331
CNT,8740
MOG,5194
MOG2,11199
GMG,82944
KNN,10206
CNT,8705
MOG,5051
MOG2,10861
GMG,1901
KNN,10041
CNT,8449
MOG,5050
MOG2,11159
GMG,5981
KNN,10077
CNT,8400
MOG,4977
MOG2,10984
GMG,8174
KNN,10001
CNT,8313
MOG,4972
MOG2,10876
GMG,7654
KNN,9914
CNT,8294
MOG,4948
MOG2,10930
GMG,8595
KNN,9945
CNT,8209
MOG,4909
MOG2,10880
GMG,8226
KNN,9956
CNT,8185
MOG,4817
MOG2,10759
GMG,9443
KNN,9917
CNT,8012
MOG,4736
MOG2,10535
GMG,6116
KNN,9854
CNT,7892
MOG,4677
MOG2,10438
GMG,5513
KNN,9803
CNT,7847
MOG,4591
MOG2,10336
GMG,3683
KNN,9740
CNT,7806
MOG,4530
MOG2,10163
GMG,3161
KNN,9669
CNT,7781
MOG,4507
MOG2,10065
GMG,4371
KNN,9561
CNT,7683
MOG,4432
MOG2,9935
GMG,3824
KNN,9442
CNT,7648
MOG,4376
MOG2,9752
GMG,3312
KNN,9351
CNT,7568
MOG,4338
MOG2,9603
GMG,2110
KNN,9326
CNT,7510
MOG,4310
MOG2,9563
GMG,2015
KNN,9207
CNT,7497
MOG,4267
MOG2,9419
GMG,3407
KNN,9016
CNT,7375
MOG,4265
MOG2,9439
GMG,3105
KNN,8975
CNT,7356
MOG,4228
MOG2,9405
GMG,3214
KNN,9099
CNT,7386
MOG,4207
MOG2,9354
GMG,2594
KNN,8995
CNT,7351
MOG,4154
MOG2,9254
GMG,2487
KNN,9040
CNT,7368
MOG,4090
MOG2,9192
GMG,3832
KNN,9029
CNT,7323
MOG,4053
MOG2,9128
GMG,3439
KNN,9064
CNT,7294
MOG,4031
MOG2,8997
GMG,2535
KNN,8979
CNT,7263
MOG,3992
MOG2,8986
GMG,1775
KNN,8972
CNT,7226
MOG,3957
MOG2,9024
GMG,1761
KNN,8959
CNT,7279
MOG,3979
MOG2,9186
GMG,2932
KNN,9037
CNT,7264
MOG,3912
MOG2,9076
GMG,2566
KNN,8962
CNT,7233
MOG,3903
MOG2,9119
GMG,2144
KNN,8959
CNT,7198
MOG,3906
MOG2,9490
GMG,2402
KNN,9075
CNT,7231
MOG,3845
MOG2,9360
GMG,1927
KNN,9038
CNT,7131
MOG,3910
MOG2,9672
GMG,3253
KNN,9276
CNT,7198
MOG,3888
MOG2,9707
GMG,2515
KNN,9295
CNT,7175
MOG,3871
MOG2,9712
GMG,2440
KNN,9301
CNT,7228
MOG,3814
MOG2,9666
GMG,1680
KNN,9307
CNT,7223
MOG,3880
MOG2,9692
GMG,1714
KNN,9318
CNT,7303
MOG,3853
MOG2,9795
GMG,2465
KNN,9299
CNT,7277
MOG,3874
MOG2,9824
GMG,2243
KNN,9394
CNT,7340
MOG,3902
MOG2,9744
GMG,1938
KNN,9360
CNT,7373
MOG,3928
MOG2,9702
GMG,1181
KNN,9333
CNT,7395
MOG,3936
MOG2,9546
GMG,1131
KNN,9208
CNT,7407
MOG,4092
MOG2,9629
GMG,1999
KNN,9300
CNT,7561
MOG,4110
MOG2,9559
GMG,1883
KNN,9260
CNT,7617
MOG,4157
MOG2,9467
GMG,1903
KNN,9182
CNT,7658
MOG,4153
MOG2,9475
GMG,1686
KNN,9235
CNT,7696
MOG,4202
MOG2,9597
GMG,1924
KNN,9394
CNT,7735
MOG,4237
MOG2,9722
GMG,2413
KNN,9426
CNT,7760
MOG,4228
MOG2,9654
GMG,2547
KNN,9531
CNT,7824
MOG,4173
MOG2,9633
GMG,2124
KNN,9519
CNT,7808
MOG,4176
MOG2,9703
GMG,1553
KNN,9587
CNT,7847
MOG,4151
MOG2,9632
GMG,1366
KNN,9497
CNT,7803
MOG,4193
MOG2,9720
GMG,2253
KNN,9451
CNT,7798
MOG,4190
MOG2,9605
GMG,2081
KNN,9364
CNT,7724
MOG,4199
MOG2,9630
GMG,1793
KNN,9466
CNT,7754
MOG,4170
MOG2,9801
GMG,1707
KNN,9409
CNT,7730
MOG,4182
MOG2,9705
GMG,1526
KNN,9394
CNT,7692
MOG,4268
MOG2,9700
GMG,2431
KNN,9358
CNT,7699
MOG,4287
MOG2,9674
GMG,2020
KNN,9400
CNT,7685
MOG,4298
MOG2,9598
GMG,1959
KNN,9452
CNT,7741
MOG,4313
MOG2,9625
GMG,1458
KNN,9445
CNT,7792
MOG,4309
MOG2,9620
GMG,1366
KNN,9470
CNT,7773
MOG,4413
MOG2,9687
GMG,2235
KNN,9545
CNT,7884
MOG,4387
MOG2,9573
GMG,2081
KNN,9475
CNT,7892
MOG,4423
MOG2,9557
GMG,1901
KNN,9482
CNT,7877
MOG,4450
MOG2,9498
GMG,1406
KNN,9429
CNT,7915
MOG,4539
MOG2,9492
GMG,1376
KNN,9449
CNT,7946
MOG,4674
MOG2,9537
GMG,2730
KNN,9508
CNT,8019
MOG,4705
MOG2,9548
GMG,2363
KNN,9441
CNT,7984
MOG,4690
MOG2,9519
GMG,2008
KNN,9436
CNT,7971
MOG,4706
MOG2,9471
GMG,1525
KNN,9401
CNT,8004
MOG,4705
MOG2,9418
GMG,1646
KNN,9337
CNT,7988
MOG,4771
MOG2,9550
GMG,2445
KNN,9439
CNT,8032
MOG,4749
MOG2,9560
GMG,2360
KNN,9474
CNT,8022
MOG,4760
MOG2,9560
GMG,2146
KNN,9490
CNT,7993
MOG,4758
MOG2,9523
GMG,2111
KNN,9403
CNT,7996
MOG,4765
MOG2,9550
GMG,1812
KNN,9429
CNT,7991
MOG,4737
MOG2,9641
GMG,2440
KNN,9425
CNT,7943
MOG,4707
MOG2,9625
GMG,2179
KNN,9459
CNT,7950
MOG,4649
MOG2,9572
GMG,1975
KNN,9358
CNT,7872
MOG,4655
MOG2,9729
GMG,1979
KNN,9468
CNT,7880
MOG,4659
MOG2,9644
GMG,1689
KNN,9413
CNT,7889
MOG,4703
MOG2,9761
GMG,2276
KNN,9525
CNT,7880
MOG,4679
MOG2,9569
GMG,1971
KNN,9385
CNT,7842
MOG,4704
MOG2,9540
GMG,2025
KNN,9360
CNT,7812
MOG,4721
MOG2,9428
GMG,1573
KNN,9344
CNT,7778
MOG,4735
MOG2,9479
GMG,1806
KNN,9412
CNT,7851
MOG,4697
MOG2,9444
GMG,2622
KNN,9434
CNT,7807
MOG,4683
MOG2,9471
GMG,2640
KNN,9469
CNT,7854
MOG,4693
MOG2,9428
GMG,2367
KNN,9476
CNT,7931
MOG,4680
MOG2,9509
GMG,1932
KNN,9600
CNT,7986
MOG,4651
MOG2,9519
GMG,1830
KNN,9571
CNT,7998
MOG,4655
MOG2,9666
GMG,2471
KNN,9655
CNT,7969
MOG,4624
MOG2,9624
GMG,2331
KNN,9579
CNT,7933
MOG,4600
MOG2,9605
GMG,2012
KNN,9526
CNT,7900
MOG,4581
MOG2,9444
GMG,1622
KNN,9454
CNT,7833
MOG,4538
MOG2,9425
GMG,1584
KNN,9372
CNT,7792
MOG,4504
MOG2,9387
GMG,2322
KNN,9285
CNT,7756
MOG,4432
MOG2,9365
GMG,2354
KNN,9221
CNT,7684
MOG,4403
MOG2,9241
GMG,2170
KNN,9100
CNT,7605
MOG,4381
MOG2,9232
GMG,1686
KNN,9122
CNT,7614
MOG,4344
MOG2,9186
GMG,1651
KNN,9100
CNT,7607
MOG,4309
MOG2,9335
GMG,2308
KNN,9163
CNT,7589
MOG,4297
MOG2,9271
GMG,2077
KNN,9148
CNT,7575
MOG,4238
MOG2,9282
GMG,1721
KNN,9151
CNT,7545
MOG,4204
MOG2,9519
GMG,1841
KNN,9258
CNT,7538
MOG,4178
MOG2,9426
GMG,1476
KNN,9145
CNT,7488
MOG,4173
MOG2,9418
GMG,2094
KNN,9062
CNT,7414
MOG,4162
MOG2,9328
GMG,1810
KNN,9058
CNT,7407
MOG,4207
MOG2,9405
GMG,1969
KNN,9068
CNT,7455
MOG,4167
MOG2,9319
GMG,1618
KNN,9004
CNT,7462
MOG,4112
MOG2,9309
GMG,1775
KNN,8971
CNT,7496
MOG,4063
MOG2,9265
GMG,1695
KNN,8880
CNT,7389
MOG,3983
MOG2,9328
GMG,2515
KNN,8818
CNT,7345
MOG,3927
MOG2,9290
GMG,2225
KNN,8763
CNT,7293
MOG,3918
MOG2,9337
GMG,1826
KNN,8805
CNT,7292
MOG,3908
MOG2,9310
GMG,1372
KNN,8768
CNT,7301
MOG,3908
MOG2,9363
GMG,1272
KNN,8833
CNT,7342
MOG,3885
MOG2,9328
GMG,2018
KNN,8717
CNT,7285
MOG,3862
MOG2,9346
GMG,1834
KNN,8721
CNT,7271
MOG,3812
MOG2,9216
GMG,1688
KNN,8694
CNT,7257
MOG,3805
MOG2,9249
GMG,1409
KNN,8783
CNT,7269
MOG,3816
MOG2,9185
GMG,1386
KNN,8739
CNT,7300
MOG,3802
MOG2,9169
GMG,2146
KNN,8635
CNT,7304
MOG,3781
MOG2,9107
GMG,1894
KNN,8542
CNT,7286
MOG,3781
MOG2,9149
GMG,1889
KNN,8582
CNT,7282
MOG,3764
MOG2,9007
GMG,1660
KNN,8468
CNT,7239
MOG,3759
MOG2,9011
GMG,1558
KNN,8475
CNT,7237
MOG,3817
MOG2,9126
GMG,2327
KNN,8704
CNT,7314
MOG,3831
MOG2,9217
GMG,2250
KNN,8793
CNT,7328
MOG,3859
MOG2,9288
GMG,2455
KNN,8821
CNT,7371
MOG,3892
MOG2,9313
GMG,1869
KNN,8912
CNT,7470
MOG,3896
MOG2,9267
GMG,1804
KNN,8896
CNT,7464
MOG,3955
MOG2,9310
GMG,2608
KNN,8942
CNT,7560
MOG,4023
MOG2,9322
GMG,2433
KNN,8924
CNT,7585
MOG,4069
MOG2,9274
GMG,2238
KNN,8909
CNT,7625
MOG,4121
MOG2,9278
GMG,1919
KNN,8926
CNT,7650
MOG,4094
MOG2,9343
GMG,2192
KNN,9010
CNT,7687
MOG,4160
MOG2,9182
GMG,2771
KNN,8752
CNT,7572
MOG,4134
MOG2,9119
GMG,2622
KNN,8738
CNT,7544
MOG,4142
MOG2,9139
GMG,2362
KNN,8725
CNT,7521
MOG,4186
MOG2,9315
GMG,2213
KNN,8782
CNT,7567
MOG,4197
MOG2,9288
GMG,2100
KNN,8747
CNT,7582
MOG,4295
MOG2,9327
GMG,2848
KNN,8748
CNT,7566
MOG,4282
MOG2,9195
GMG,2501
KNN,8688
CNT,7545
MOG,4242
MOG2,9129
GMG,2346
KNN,8644
CNT,7527
MOG,4237
MOG2,9010
GMG,1929
KNN,8596
CNT,7491
MOG,4188
MOG2,8843
GMG,1997
KNN,8517
CNT,7406
MOG,4197
MOG2,8803
GMG,2932
KNN,8542
CNT,7394
MOG,4199
MOG2,8817
GMG,2769
KNN,8548
CNT,7412
MOG,4183
MOG2,8709
GMG,2573
KNN,8533
CNT,7433
MOG,4130
MOG2,8626
GMG,1905
KNN,8440
CNT,7408
MOG,4106
MOG2,8511
GMG,1700
KNN,8387
CNT,7383
MOG,4085
MOG2,8525
GMG,2490
KNN,8424
CNT,7351
MOG,4044
MOG2,8397
GMG,2294
KNN,8336
CNT,7291
MOG,3991
MOG2,8558
GMG,2291
KNN,8467
CNT,7255
MOG,3938
MOG2,8466
GMG,1743
KNN,8403
CNT,7200
MOG,3886
MOG2,8530
GMG,1720
KNN,8423
CNT,7174
MOG,3946
MOG2,8565
GMG,2450
KNN,8412
CNT,7175
MOG,3897
MOG2,8579
GMG,2245
KNN,8437
CNT,7171
MOG,3867
MOG2,8528
GMG,1970
KNN,8366
CNT,7163
MOG,3832
MOG2,8567
GMG,1639
KNN,8421
CNT,7195
MOG,3840
MOG2,8537
GMG,1722
KNN,8332
CNT,7213
MOG,3894
MOG2,8502
GMG,3285
KNN,8237
CNT,7201
MOG,3890
MOG2,8575
GMG,2928
KNN,8246
CNT,7169
MOG,3856
MOG2,8538
GMG,2423
KNN,8232
CNT,7121
MOG,3871
MOG2,8468
GMG,1955
KNN,8162
CNT,7117
MOG,3858
MOG2,8378
GMG,1728
KNN,8060
CNT,7085
MOG,3873
MOG2,8374
GMG,2344
KNN,8091
CNT,7061
MOG,3929
MOG2,8458
GMG,2077
KNN,8152
CNT,7102
MOG,3949
MOG2,8337
GMG,1759
KNN,8130
CNT,7136
MOG,3959
MOG2,8313
GMG,1485
KNN,8123
CNT,7168
MOG,3946
MOG2,8338
GMG,1442
KNN,8182
CNT,7187
MOG,3976
MOG2,8435
GMG,2349
KNN,8304
CNT,7249
MOG,3976
MOG2,8422
GMG,2299
KNN,8341
CNT,7279
MOG,4018
MOG2,8416
GMG,2022
KNN,8349
CNT,7322
MOG,4019
MOG2,8419
GMG,1718
KNN,8311
CNT,7329
MOG,4047
MOG2,8433
GMG,1624
KNN,8330
CNT,7353
MOG,4106
MOG2,8343
GMG,2281
KNN,8151
CNT,7202
MOG,4088
MOG2,8317
GMG,2377
KNN,8199
CNT,7125
MOG,4154
MOG2,8499
GMG,2935
KNN,8357
CNT,7231
MOG,4114
MOG2,8364
GMG,2400
KNN,8208
CNT,7117
MOG,4126
MOG2,8328
GMG,2101
KNN,8170
CNT,7134
MOG,4196
MOG2,8188
GMG,2614
KNN,8125
CNT,7089
MOG,4219
MOG2,8251
GMG,2417
KNN,8216
CNT,7126
MOG,4219
MOG2,8163
GMG,2095
KNN,8121
CNT,7068
MOG,4176
MOG2,8069
GMG,1659
KNN,8060
CNT,7002
MOG,4160
MOG2,8083
GMG,1556
KNN,8014
CNT,7006
MOG,4217
MOG2,8057
GMG,2466
KNN,8012
CNT,7010
MOG,4201
MOG2,7941
GMG,2378
KNN,7954
CNT,6991
MOG,4254
MOG2,7943
GMG,2202
KNN,8027
CNT,7002
MOG,4195
MOG2,7814
GMG,1783
KNN,7988
CNT,6992
MOG,4194
MOG2,7812
GMG,1708
KNN,7971
CNT,6953
MOG,4221
MOG2,7700
GMG,2291
KNN,7883
CNT,6868
MOG,4193
MOG2,7654
GMG,2170
KNN,7921
CNT,6873
MOG,4149
MOG2,7651
GMG,1960
KNN,7950
CNT,6860
MOG,4170
MOG2,7680
GMG,1632
KNN,7964
CNT,6911
MOG,4146
MOG2,7701
GMG,1471
KNN,7933
CNT,6892
MOG,4177
MOG2,7779
GMG,2097
KNN,7937
CNT,6855
MOG,4121
MOG2,7801
GMG,1952
KNN,7886
CNT,6829
MOG,4145
MOG2,7875
GMG,1934
KNN,7979
CNT,6847
MOG,4150
MOG2,7907
GMG,1679
KNN,7948
CNT,6832
MOG,4220
MOG2,7969
GMG,1635
KNN,8006
CNT,6901
MOG,4274
MOG2,8237
GMG,2484
KNN,8086
CNT,7009
MOG,4315
MOG2,8357
GMG,2366
KNN,8184
CNT,7034
MOG,4336
MOG2,8512
GMG,2334
KNN,8286
CNT,7107
MOG,4323
MOG2,8603
GMG,1719
KNN,8313
CNT,7174
MOG,4319
MOG2,8633
GMG,1726
KNN,8357
CNT,7141
MOG,4370
MOG2,8855
GMG,2370
KNN,8489
CNT,7211
MOG,4414
MOG2,8845
GMG,2258
KNN,8513
CNT,7276
MOG,4404
MOG2,8884
GMG,1977
KNN,8500
CNT,7317
MOG,4425
MOG2,8839
GMG,1598
KNN,8479
CNT,7343
MOG,4394
MOG2,8902
GMG,1392
KNN,8536
CNT,7347
MOG,4474
MOG2,8825
GMG,2311
KNN,8549
CNT,7405
MOG,4473
MOG2,8806
GMG,2276
KNN,8592
CNT,7406
MOG,4445
MOG2,8783
GMG,1929
KNN,8535
CNT,7434
MOG,4487
MOG2,8911
GMG,1692
KNN,8635
CNT,7499
MOG,4520
MOG2,8939
GMG,1629
KNN,8707
CNT,7599
MOG,4520
MOG2,8896
GMG,2351
KNN,8725
CNT,7493
MOG,4488
MOG2,8827
GMG,2295
KNN,8732
CNT,7502
MOG,4414
MOG2,8845
GMG,2022
KNN,8726
CNT,7474
